title,time,origin,author,article,latitude,longitude
瓯海公路局推进高速公路绿化提升和桥下空间利用工作,时间：2017-12-29,来源：温州市公路局 瓯海区交通运输局,作者： 卢慧雯,??? 为加快推进高速公路绿化提升和桥下空间利用工作，12月26-27日，瓯海区公路管理局副局长金朝辉一行与南白象、娄桥等街道负责人现场确认金丽温、甬台温高速公路沿线绿化区域、租地面积及桥下空间利用等事宜。??? 瓯海公路局根据瓯海区区长王振勇在专题调研绿化提升工程暨桥下空间利用会议时讲话精神，主动与属地街道就绿化租地、桥下空间利用的拟建项目及可利用面积进行现场确认，并督促相关镇街做好绿化租地政策处理工作，确保绿化提升工程按时进场施工；同时做好桥下空间利用总体方案规划前期工作。力争将金丽温、甬台温高速公路瓯海段打造成精品示范路和迎宾大道，按“统一设计、统一考核、分期建设、分区管理”原则做好桥下空间利用，使高速公路沿线群众得到更大实惠。,19.4206657,-152.6093
洞头辖区港口企业成功开展港口设施保安演习,时间：2017-12-29,来源：洞头交通运输局,作者：叶明志,?? ?2017年12月28日，温州市港航管理局在洞头区小门岛港区开展年度港口设施保安演习。本次演习参加单位包括温州市港航管理局、洞头区港航管理局、乐清市港航管理局及浙江中燃华电能源公司、温州港集团状元岙港务分公司等5家涉外港口企业。??? 本次港口保安演习模拟《港口设施保安计划》5.2.10应对蓄意破坏储罐、管道、装卸臂等关键设备的应急程序演习，1号码头5号装卸臂根部管道法兰遭到破坏，造成法兰垫片刺开发生大量液化气泄漏的保安事件，一级保安状态下对可疑人员及泄漏事件的初步处置。根据《保安计划》报告程序立即逐级上报，港区领导立即向温州市港航管理局报告，经同意将保安等级升至二级保安等级应急程序，全面开展港口设施保安事件处置工作取得很好的应对突发情况的效果。??? 此次演习是温州市港口设施保安和港口危险化学品突发事件应急处置演练的一个缩影。温州市港航部门紧盯安全监管不放松，抓住应急处置这个关键环节，提升应急能力，筑牢港口生产的安全防线。,19.4206657,-152.6093
温州市交通质监局对全市试验检测机构进行专项检查,时间：2017-12-29,来源：温州市交通工程质量监督局,作者： 徐伟,??? 近日，温州市交通质监局杨友良副局长带队对全市公路水运工程试验检测检测机构进行了专项检查。,19.4206657,-152.6093
文成县交通质监站开展年度质量监督抽检工作,时间：2017-12-29,来源：温州市交通工程质量监督局　文成县交通运输局,作者：朱静,??? 为加强品质工程建设，强化工程质量监督管理，近日，文成县交通质监站对全县受监的在建交通工程开展年度工程实体及原材料、常用产品质量的监督抽检工作。??? 本次检测涉及7个在建项目，共7个标段，对在建交通工程做到全覆盖抽检。本次检测主要针对工程实体和原材料进行抽检，检测主要涉及路基弯沉、钢筋保护层厚度检测、水泥原材料检测、构件强度等。为确保抽检的公正性和准确性，文成县质监站委托了技术实力强、具有计量认证资质的检测公司进行检测。从抽检数据来看，总体情况良好，抽检结果能满足设计及规范要求，表明全县在建交通工程实体质量总体处于受控状态。 ?? 质量监督抽检是质监站对辖内在建交通工程监督的一种强力手段，有利于质监站加强对交通工程质量的监管，用数据说话，规范参建各方责任主体的质量行为，保证工程结构安全，规范施工单位原材料的选购行为，从而进一步提高交通工程的实体质量。,19.4206657,-152.6093
新能源纯电动公交车亮相百岛洞头,时间：2017-12-29,来源：洞头交通运输局,作者：李小刚,??? 12月28日，让市民翘首期盼的城区环线纯电动公交车，如约驶入百岛洞头路上。就此，洞头区首批纯电动公交车正式投入试运行中。,19.4206657,-152.6093
省检查组考评永嘉桥头服务区星级创建工作,时间：2017-12-29,来源：温州市公路局,作者：张钟开,??? 近日，2017年度星级服务区考评工作启动，此次考评由省公路局牵头，省旅游局、省文明办、省公安厅高速交警总队、省工商局等多家单位人员参与温州地区考评桥头服务区创建四星级文明服务区工作。市公路管理局党委委员、高速路政大队大队长林光夫等人陪同。??? 考核组一行实地检查桥头服务区的公共卫生间、汽修、停车场、加油站、商超、餐厅等设备设施，召开座谈会听取经营单位关于星级文明服务区创建工作情况汇报，并查阅了服务区创建工作内业台账资料。在实地检查、座谈汇报后，考核组对桥头服务区的创建工作予以肯定，认为该项创建工作领导重视，工作规范，成效明显。考核组参照《浙江省高速公路星级文明服务区创建管理办法（试行）》（浙交〔2012〕45号）的考评细则，在业务上提出了指导意见和建议。??? 2017年年初以来，高速路政大队通过日巡日查、季度检查、专项检查等多种形式检查全市4对半服务区开展星级文明服务区创建活动，同时多次邀请专家指导服务区工作，在省局考评前组织市文明办、市旅游局、市安监局等9家单位进行市级考评，为创建工作争取了宝贵的意见和建议，实现服务区的硬件改造与软件提升齐抓、经济效益与社会效益兼顾的良好局面。,19.4206657,-152.6093
文成公路局组织观看“学习十九大精神”特别节目《迈向新时代》,时间：2017-12-29,来源：温州市公路局,作者：胡悦斌,?? 连日来，为加强十九大精神宣传学习，文成县公路管理局组织全体干部职工，通过各种形式观看“学习十九大精神”特别节目《迈向新时代》的第一期节目《走在前列》。??? 大型演播室访谈节目《迈向新时代》第一期《走在前列》。该节目紧扣“决胜全面建成小康社会，夺取新时代中国特色社会主义伟大胜利”主题，分别邀请了浙江中国特色社会主义理论体系研究中心主任胡坚，文成县委书记王彩莲等嘉宾，谈体会、说期待、谋落实，生动展示全省上下学习贯彻十九大精神，奋力推进“两个高水平”建设的实践和愿景。??? 为生动展示我省在习近平新时代中国特色社会主义思想指引下的火热实践，进一步推动掀起学习贯彻党的十九大精神热潮，省委组织部、省广电集团近期将制作推出特别节目《迈向新时代》，对深入学习贯彻党的十九大精神的重要举措，对帮助和推动基层落实“学懂、弄通、做实”党的十九大精神具有积极意义。节目以“走在前列”、“振兴乡村”、“勇立潮头”、“初心不改”为主题分四期策划制作。??? 观看节目后，广大公路职工对王彩莲书记的讲话进行了讨论，认为王彩莲说的：“文成全域旅游能走多远，能飞多高，关键在于能否突破交通短板”。体现了公路交通在文成经济社会发展中的先锋军和主力军作用，在这样的历史方位下，公路人责任重大，使命光荣，应当勇立潮头，走在前列。,19.4206657,-152.6093
温州龙港大桥（鳌江一桥）改建工程顺利完成通车,时间：2017-12-29,来源：苍南县交通运输局,作者：王道群,??? 2017年12月28日上午，温州龙港大桥（鳌江一桥）改建工程顺利完成通车。参加通车仪式的有温州市交通运输局、龙港、鳌江镇委镇政府领导，苍南、平阳县交通运输局领导，以及龙港大桥参建单位等相关负责人。,19.4206657,-152.6093
“最多跑一次”运管样本入选温州市“最佳”案例,时间：2017-12-29,来源：温州市运管局,作者：李阳,??? 日前，温州市“最多跑一次”最佳案例名单正式出炉，温州市运管局报送的“最多跑一次”案例从73个优秀案例中脱颖而出，成功入选38个最佳案例。??? 在“最多跑一次”的实践中，温州市运管局积极部署“最多跑一次”改革任务，公布“最多跑一次”行政审批权力事项，积极打造交通行政审批制度改革温州样本，面对诸多办事“痛点”、“堵点”、“盲点”，温州市运管局推出出租车驾驶员注册和注销网上办理平台，将审批由线下转为线上，变群众跑路为数据跑路，实现出租车从业资格审批事项一次不用跑。除了让数据跑，运管部门还将“网约车道路运输证”、“货车道路运输证”审批窗口开进检测站，派工作人员驻点，延伸服务。由此，货车司机、网约车平台在车辆综合性能安全检测站完成车辆检测后，当即便可在相应的窗口申请办理道路运输证，而不必再去行政审批中心办理道路运输证，避免来回多趟跑。??? 截止目前，温州市运管局共办理出租车驾驶员从业资格注册 4598件，办理货车营运证1533件，网约车营运证 786件，累计使群众少跑18500趟。通过快递跑、数据跑、干部跑、一窗跑等方法，实现90%以上的事项实现“最多跑一次”，让人民群众的获得感不断增强。,19.4206657,-152.6093
乐清湾港区铁路支线首孔桥梁架设成功 预计明年下半年完工,时间：2017-12-29,来源： 市港航管理局  乐清市交通运输局,作者： 郭程益,?? 12月26日上午，乐清湾港区铁路支线工程首孔桥梁架设宣告成功，这是乐清湾港区铁路支线乐清段工程的重要节点，标志着整个线下工程转为线上工程，预计明年下半年完工。,19.4206657,-152.6093
